category,condition_grade,return_reason,original_price,inbound_shipping_cost,final_decision,hazardous_goods_flag,co2_saved_refurb_vs_landfill,profit
Apparel,A,03_damaged_shipping,22004,442,recycle,1,0.0,-4377
Electronics,A,02_changed_mind,23702,259,keep_it,0,0.0,43
Beauty,B,03_damaged_shipping,25953,343,liquidate,0,0.0,-1534
Apparel,A,01_defective,4995,464,refurbish,0,2.692430459667293,13379
Kitchen,A,02_changed_mind,16845,180,liquidate,0,0.0,-856
Kitchen,C,02_changed_mind,27157,129,liquidate,0,0.0,-598
Kitchen,D,04_incorrect_item,8053,84,donate,0,7.495830150528487,272
Electronics,B,04_incorrect_item,18891,85,donate,0,7.504306509124239,21
Electronics,B,02_changed_mind,23333,283,liquidate,0,0.0,919
Electronics,B,03_damaged_shipping,25634,254,recycle,1,0.0,-2216
Kitchen,D,01_defective,9307,52,refurbish,0,3.9243884070690034,2278
Beauty,C,02_changed_mind,12946,305,keep_it,0,0.0,96
Electronics,B,01_defective,6064,83,refurbish,0,2.931417055091891,5682
Beauty,B,02_changed_mind,27380,494,liquidate,0,0.0,-1713
Kitchen,A,03_damaged_shipping,21587,278,recycle,1,0.0,-726
Electronics,A,03_damaged_shipping,13061,182,liquidate,0,0.0,162
Electronics,B,02_changed_mind,6699,453,keep_it,0,0.0,95
Electronics,B,02_changed_mind,22727,134,liquidate,0,0.0,1053
Apparel,B,01_defective,1202,71,recycle,1,0.0,-2599
Beauty,B,03_damaged_shipping,13818,321,liquidate,0,0.0,360
Kitchen,B,03_damaged_shipping,8649,289,liquidate,0,0.0,4
Electronics,B,02_changed_mind,26490,78,keep_it,0,0.0,93
Beauty,C,01_defective,549,132,refurbish,0,3.199918967079959,9384
Electronics,A,02_changed_mind,15839,350,liquidate,0,0.0,-211
Beauty,A,03_damaged_shipping,19843,57,recycle,1,0.0,-2825
Apparel,A,02_changed_mind,18153,275,keep_it,0,0.0,83
Kitchen,B,03_damaged_shipping,10481,316,liquidate,0,0.0,-91
Electronics,A,03_damaged_shipping,20558,156,recycle,1,0.0,-2500
Electronics,D,01_defective,18817,53,refurbish,0,2.8162560000026686,6640
Electronics,C,01_defective,26245,106,recycle,1,0.0,-606
Beauty,B,03_damaged_shipping,15047,265,recycle,1,0.0,-4340
Kitchen,B,03_damaged_shipping,1647,282,recycle,1,0.0,-331
Apparel,B,02_changed_mind,28737,148,liquidate,0,0.0,342
Apparel,A,03_damaged_shipping,9136,94,recycle,1,0.0,-3870
Beauty,A,02_changed_mind,14204,483,liquidate,0,0.0,139
Kitchen,A,01_defective,4043,336,recycle,1,0.0,-750
Electronics,C,02_changed_mind,2830,198,keep_it,0,0.0,100
Apparel,B,01_defective,3225,442,refurbish,0,3.4632302118182725,8054
Electronics,B,02_changed_mind,21516,231,keep_it,0,0.0,93
Apparel,B,02_changed_mind,15167,477,liquidate,0,0.0,-1930
Beauty,C,02_changed_mind,15961,277,keep_it,0,0.0,54
Electronics,C,02_changed_mind,2059,225,keep_it,0,0.0,79
Apparel,A,02_changed_mind,20780,194,keep_it,0,0.0,52
Kitchen,B,02_changed_mind,21487,422,keep_it,0,0.0,21
Electronics,C,02_changed_mind,2990,260,keep_it,0,0.0,65
Kitchen,C,03_damaged_shipping,26489,65,liquidate,0,0.0,781
Electronics,C,03_damaged_shipping,17329,386,recycle,1,0.0,-4070
Apparel,C,03_damaged_shipping,5393,133,liquidate,0,0.0,-1796
Beauty,B,01_defective,24393,421,refurbish,0,3.5193391562616414,4631
Electronics,B,03_damaged_shipping,22865,302,liquidate,0,0.0,-1047
Beauty,A,02_changed_mind,23811,414,keep_it,0,0.0,85
Apparel,A,02_changed_mind,12646,469,keep_it,0,0.0,16
Kitchen,B,01_defective,24736,290,refurbish,0,1.7298880836379573,16068
Electronics,C,03_damaged_shipping,16077,286,liquidate,0,0.0,-513
Electronics,D,01_defective,14351,322,refurbish,0,2.271515103853407,13078
Kitchen,C,01_defective,20452,384,recycle,1,0.0,-1884
Kitchen,D,03_damaged_shipping,14401,349,recycle,1,0.0,-3
Beauty,B,01_defective,20219,265,refurbish,0,2.6554190601858645,15928
Kitchen,B,02_changed_mind,240,333,liquidate,0,0.0,150
Apparel,A,03_damaged_shipping,19217,71,recycle,1,0.0,855
Kitchen,A,01_defective,5517,176,refurbish,0,4.05043097022968,3884
Apparel,C,03_damaged_shipping,23711,496,liquidate,0,0.0,-1637
Electronics,B,01_defective,16172,464,refurbish,0,2.836169706098042,11038
Electronics,B,03_damaged_shipping,15702,329,liquidate,0,0.0,-1414
Beauty,D,02_changed_mind,26031,445,liquidate,0,0.0,-875
Beauty,A,02_changed_mind,5485,263,liquidate,0,0.0,425
Beauty,A,03_damaged_shipping,9430,487,liquidate,0,0.0,-1321
Beauty,C,02_changed_mind,5389,59,keep_it,0,0.0,48
Beauty,B,01_defective,18763,178,refurbish,0,1.188595837029113,11549
Beauty,A,01_defective,16557,331,refurbish,0,4.522206187187432,4021
Electronics,D,02_changed_mind,14247,254,liquidate,0,0.0,-804
Beauty,B,02_changed_mind,7751,347,liquidate,0,0.0,555
Apparel,B,01_defective,1681,426,refurbish,0,4.402759511792189,10169
Apparel,A,01_defective,14647,249,refurbish,0,3.0842911661374792,14563
Beauty,A,02_changed_mind,29377,128,keep_it,0,0.0,37
Kitchen,B,03_damaged_shipping,6049,252,recycle,1,0.0,-2509
Apparel,A,01_defective,10928,165,refurbish,0,1.1959473369969338,4199
Kitchen,A,02_changed_mind,5165,324,liquidate,0,0.0,-865
Beauty,C,04_incorrect_item,28523,238,liquidate,0,0.0,196
Beauty,B,04_incorrect_item,19430,170,donate,0,6.695580546275916,38
Apparel,A,02_changed_mind,2600,182,keep_it,0,0.0,77
Beauty,B,01_defective,29695,451,refurbish,0,1.2624709112182892,17586
Apparel,B,02_changed_mind,27982,377,keep_it,0,0.0,100
Electronics,B,02_changed_mind,22462,197,liquidate,0,0.0,-1682
Electronics,A,02_changed_mind,17354,67,keep_it,0,0.0,27
Kitchen,C,02_changed_mind,5407,243,keep_it,0,0.0,10
Electronics,A,03_damaged_shipping,22485,286,liquidate,0,0.0,-1995
Kitchen,A,02_changed_mind,18771,340,keep_it,0,0.0,66
Beauty,A,02_changed_mind,19946,161,liquidate,0,0.0,-637
Apparel,B,03_damaged_shipping,8146,368,recycle,1,0.0,471
Beauty,B,02_changed_mind,6771,67,keep_it,0,0.0,90
Apparel,C,02_changed_mind,29424,93,liquidate,0,0.0,-36
Beauty,B,02_changed_mind,10009,189,keep_it,0,0.0,52
Beauty,A,02_changed_mind,8314,281,keep_it,0,0.0,93
Kitchen,B,02_changed_mind,6534,189,liquidate,0,0.0,-118
Electronics,A,02_changed_mind,17187,431,liquidate,0,0.0,-1848
Kitchen,B,02_changed_mind,14584,428,liquidate,0,0.0,-1300
Electronics,B,04_incorrect_item,17071,390,donate,0,4.240162358647379,145
Beauty,A,02_changed_mind,3071,316,keep_it,0,0.0,28
Kitchen,C,04_incorrect_item,5396,293,donate,0,6.991356063022813,79
Electronics,D,02_changed_mind,18309,155,liquidate,0,0.0,-1365
Kitchen,D,04_incorrect_item,27852,111,liquidate,0,0.0,-1956
Electronics,B,02_changed_mind,2970,87,liquidate,0,0.0,-378
Apparel,D,02_changed_mind,20371,51,keep_it,0,0.0,54
Apparel,B,02_changed_mind,25417,431,keep_it,0,0.0,28
Apparel,A,01_defective,3426,328,refurbish,0,1.0518364229742172,3489
Apparel,D,03_damaged_shipping,27340,484,recycle,1,0.0,772
Electronics,A,02_changed_mind,4346,377,liquidate,0,0.0,-1959
Electronics,B,02_changed_mind,10909,384,keep_it,0,0.0,82
Beauty,A,03_damaged_shipping,3222,422,recycle,1,0.0,-2047
Electronics,A,02_changed_mind,13358,408,liquidate,0,0.0,831
Beauty,A,02_changed_mind,1107,484,keep_it,0,0.0,89
Beauty,D,03_damaged_shipping,16110,334,recycle,1,0.0,351
Kitchen,B,02_changed_mind,4369,285,keep_it,0,0.0,65
Beauty,B,01_defective,17761,475,refurbish,0,3.871021775405317,15518
Apparel,A,02_changed_mind,20283,356,keep_it,0,0.0,26
Beauty,B,03_damaged_shipping,3456,290,recycle,1,0.0,183
Electronics,A,02_changed_mind,26534,63,liquidate,0,0.0,285
Beauty,A,01_defective,7541,483,refurbish,0,2.6287292693401842,8014
Kitchen,B,02_changed_mind,3829,340,liquidate,0,0.0,-351
Electronics,B,01_defective,20073,153,refurbish,0,2.054862899138045,8514
Apparel,A,02_changed_mind,14754,344,keep_it,0,0.0,64
Kitchen,B,03_damaged_shipping,5817,390,liquidate,0,0.0,392
Apparel,B,02_changed_mind,28421,224,keep_it,0,0.0,18
Electronics,B,03_damaged_shipping,14125,432,recycle,1,0.0,-982
Electronics,B,02_changed_mind,20511,319,keep_it,0,0.0,30
Kitchen,A,03_damaged_shipping,14192,300,liquidate,0,0.0,116
Beauty,B,01_defective,26700,59,refurbish,0,1.6843546993176055,3272
Electronics,B,02_changed_mind,24554,80,liquidate,0,0.0,-1521
Beauty,C,01_defective,21050,489,recycle,1,0.0,-4448
Electronics,B,01_defective,28858,201,refurbish,0,4.139184496451291,2919
Electronics,D,02_changed_mind,28924,218,liquidate,0,0.0,-324
Kitchen,B,02_changed_mind,13702,279,keep_it,0,0.0,67
Beauty,A,03_damaged_shipping,12682,81,recycle,1,0.0,-954
Kitchen,A,02_changed_mind,28478,282,keep_it,0,0.0,78
Apparel,A,03_damaged_shipping,5392,164,recycle,1,0.0,-705
Electronics,D,03_damaged_shipping,5359,276,recycle,1,0.0,-2719
Apparel,D,01_defective,5303,252,refurbish,0,3.3153880142215906,4541
Kitchen,D,02_changed_mind,12222,93,liquidate,0,0.0,-44
Beauty,C,02_changed_mind,22381,141,liquidate,0,0.0,-679
Kitchen,A,02_changed_mind,18873,248,liquidate,0,0.0,-466
Kitchen,A,02_changed_mind,3326,241,keep_it,0,0.0,71
Beauty,A,02_changed_mind,5357,111,keep_it,0,0.0,70
Electronics,D,03_damaged_shipping,6144,109,liquidate,0,0.0,96
Electronics,B,03_damaged_shipping,3289,263,recycle,1,0.0,-4883
Electronics,D,02_changed_mind,7012,382,liquidate,0,0.0,-1685
Kitchen,A,01_defective,3262,369,refurbish,0,3.7446302403193834,5753
Kitchen,C,01_defective,28379,380,recycle,1,0.0,-4975
Apparel,B,02_changed_mind,23898,90,keep_it,0,0.0,81
Kitchen,B,02_changed_mind,6393,488,keep_it,0,0.0,66
Electronics,B,01_defective,4092,57,recycle,1,0.0,-270
Beauty,B,02_changed_mind,8624,446,keep_it,0,0.0,98
Kitchen,B,01_defective,19516,176,refurbish,0,3.55993055954199,8765
Kitchen,B,01_defective,22774,257,refurbish,0,3.391623776310227,3819
Apparel,A,03_damaged_shipping,23551,51,recycle,1,0.0,-3805
Beauty,B,02_changed_mind,9691,169,liquidate,0,0.0,-1740
Electronics,B,01_defective,13599,374,refurbish,0,1.024781276242365,16518
Beauty,C,02_changed_mind,28133,205,keep_it,0,0.0,100
Beauty,D,02_changed_mind,25022,418,keep_it,0,0.0,37
Electronics,B,02_changed_mind,7071,375,liquidate,0,0.0,806
Apparel,B,02_changed_mind,20979,244,keep_it,0,0.0,61
Electronics,B,01_defective,19363,139,refurbish,0,4.629607324491284,6238
Kitchen,B,02_changed_mind,4364,119,liquidate,0,0.0,-689
Beauty,B,02_changed_mind,22201,193,keep_it,0,0.0,37
Beauty,A,03_damaged_shipping,939,246,liquidate,0,0.0,-324
Beauty,C,02_changed_mind,7665,111,keep_it,0,0.0,17
Kitchen,B,03_damaged_shipping,17465,111,liquidate,0,0.0,356
Electronics,A,02_changed_mind,10795,128,keep_it,0,0.0,17
Beauty,C,02_changed_mind,15856,406,liquidate,0,0.0,389
Electronics,A,01_defective,27012,168,refurbish,0,1.1549560727846684,12573
Beauty,B,01_defective,17162,232,refurbish,0,3.6851960404642763,13184
Kitchen,D,02_changed_mind,21974,238,liquidate,0,0.0,-1024
Kitchen,C,02_changed_mind,9045,423,keep_it,0,0.0,72
Apparel,C,02_changed_mind,17103,160,liquidate,0,0.0,-465
Apparel,A,02_changed_mind,10675,68,liquidate,0,0.0,-597
Beauty,A,04_incorrect_item,1971,59,donate,0,8.149579586293997,152
Apparel,A,03_damaged_shipping,21668,323,liquidate,0,0.0,-1629
Electronics,B,02_changed_mind,21452,205,keep_it,0,0.0,97
Kitchen,A,02_changed_mind,29644,422,keep_it,0,0.0,77
Beauty,B,02_changed_mind,29104,151,keep_it,0,0.0,11
Kitchen,A,03_damaged_shipping,14296,370,recycle,1,0.0,541
Apparel,A,01_defective,16067,325,refurbish,0,4.719106639423938,8821
Electronics,B,02_changed_mind,29313,235,keep_it,0,0.0,48
Electronics,A,02_changed_mind,9821,459,liquidate,0,0.0,1122
Beauty,D,03_damaged_shipping,3061,341,liquidate,0,0.0,-779
Electronics,C,01_defective,21833,248,recycle,1,0.0,-2900
Apparel,B,02_changed_mind,9407,338,liquidate,0,0.0,-1533
Kitchen,B,02_changed_mind,9502,384,keep_it,0,0.0,18
Beauty,B,03_damaged_shipping,29597,193,liquidate,0,0.0,267
Kitchen,C,02_changed_mind,20335,119,keep_it,0,0.0,69
Beauty,D,02_changed_mind,7906,462,keep_it,0,0.0,77
Apparel,B,02_changed_mind,28653,404,keep_it,0,0.0,45
Electronics,B,02_changed_mind,3206,95,keep_it,0,0.0,57
Electronics,B,02_changed_mind,5292,95,keep_it,0,0.0,78
Kitchen,D,02_changed_mind,5183,133,keep_it,0,0.0,20
Apparel,D,04_incorrect_item,9091,342,donate,0,9.804205476449264,19
Electronics,A,04_incorrect_item,21477,380,donate,0,7.704676831364572,209
Beauty,B,03_damaged_shipping,11744,189,liquidate,0,0.0,-1279
Beauty,B,03_damaged_shipping,19662,280,recycle,1,0.0,-146
Beauty,C,02_changed_mind,246,363,liquidate,0,0.0,210
Kitchen,C,02_changed_mind,25713,335,liquidate,0,0.0,820
Electronics,B,03_damaged_shipping,456,142,liquidate,0,0.0,-1222
Beauty,C,02_changed_mind,27746,369,keep_it,0,0.0,24
Beauty,D,03_damaged_shipping,12440,62,recycle,1,0.0,-2317
Beauty,C,01_defective,11463,99,refurbish,0,3.0106005496367345,2548
Electronics,B,04_incorrect_item,26399,226,liquidate,0,0.0,-1590
Apparel,A,02_changed_mind,27012,471,keep_it,0,0.0,63
Kitchen,C,02_changed_mind,11729,249,liquidate,0,0.0,664
Electronics,B,01_defective,17912,94,refurbish,0,4.520751124051228,5889
Apparel,B,02_changed_mind,16752,241,liquidate,0,0.0,-1171
Apparel,C,02_changed_mind,2375,171,keep_it,0,0.0,81
Kitchen,C,03_damaged_shipping,29175,133,recycle,1,0.0,-3814
Electronics,B,02_changed_mind,8557,134,keep_it,0,0.0,43
Beauty,B,01_defective,23405,213,refurbish,0,4.97467445231373,11491
Beauty,B,01_defective,11822,380,refurbish,0,1.5275711514808128,8044
Beauty,B,03_damaged_shipping,16427,146,recycle,1,0.0,341
Apparel,A,03_damaged_shipping,2661,238,liquidate,0,0.0,-327
Kitchen,A,01_defective,617,260,recycle,1,0.0,-195
Apparel,A,03_damaged_shipping,21836,326,recycle,1,0.0,-2348
Apparel,B,03_damaged_shipping,22614,218,recycle,1,0.0,-1936
Apparel,B,02_changed_mind,29191,308,keep_it,0,0.0,80
Kitchen,A,02_changed_mind,8564,166,liquidate,0,0.0,-1561
Beauty,D,02_changed_mind,2561,108,keep_it,0,0.0,28
Apparel,A,02_changed_mind,1972,305,liquidate,0,0.0,194
Apparel,C,01_defective,21427,377,recycle,1,0.0,-892
Beauty,D,02_changed_mind,19526,125,keep_it,0,0.0,81
Electronics,B,02_changed_mind,2603,432,liquidate,0,0.0,-1627
Electronics,A,01_defective,190,208,refurbish,0,1.6514296510446336,8538
Electronics,B,02_changed_mind,17635,328,keep_it,0,0.0,57
Kitchen,A,02_changed_mind,21014,448,liquidate,0,0.0,-1760
Beauty,A,02_changed_mind,5351,282,keep_it,0,0.0,71
Apparel,A,02_changed_mind,24076,463,liquidate,0,0.0,-1541
Electronics,C,03_damaged_shipping,1293,216,liquidate,0,0.0,-1163
Kitchen,B,03_damaged_shipping,11846,284,liquidate,0,0.0,926
Kitchen,C,01_defective,27623,203,refurbish,0,2.1325423196163045,10387
Electronics,A,02_changed_mind,13728,151,keep_it,0,0.0,27
Apparel,C,04_incorrect_item,10335,345,liquidate,0,0.0,97
Kitchen,A,03_damaged_shipping,16072,359,liquidate,0,0.0,-1443
Kitchen,C,03_damaged_shipping,8429,51,recycle,1,0.0,-4397
Electronics,D,03_damaged_shipping,1871,82,liquidate,0,0.0,-1665
Electronics,C,02_changed_mind,2320,287,keep_it,0,0.0,25
Kitchen,D,02_changed_mind,20714,179,liquidate,0,0.0,-305
Kitchen,D,01_defective,1251,136,recycle,1,0.0,-3137
Kitchen,B,01_defective,15706,137,refurbish,0,3.740090002015073,16021
Electronics,B,02_changed_mind,26748,127,keep_it,0,0.0,39
Beauty,C,02_changed_mind,1614,109,liquidate,0,0.0,974
Kitchen,B,01_defective,29534,133,refurbish,0,2.5398556465882334,14045
Kitchen,B,02_changed_mind,3708,456,keep_it,0,0.0,33
Kitchen,B,02_changed_mind,29686,114,keep_it,0,0.0,86
Electronics,A,01_defective,6675,484,refurbish,0,2.1407402018057127,16834
Apparel,A,02_changed_mind,16982,203,liquidate,0,0.0,-694
Apparel,A,02_changed_mind,19858,155,liquidate,0,0.0,-995
Electronics,B,02_changed_mind,18317,135,keep_it,0,0.0,51
Beauty,B,01_defective,17805,309,refurbish,0,1.4564653990305096,15471
Apparel,C,02_changed_mind,13924,365,keep_it,0,0.0,58
Apparel,B,01_defective,8101,326,refurbish,0,2.1510272230449368,12470
Electronics,A,04_incorrect_item,5793,229,liquidate,0,0.0,-1722
Beauty,B,04_incorrect_item,4303,367,donate,0,7.838611009949097,20
Kitchen,A,02_changed_mind,10845,81,liquidate,0,0.0,-780
Electronics,A,02_changed_mind,10420,307,keep_it,0,0.0,19
Apparel,C,04_incorrect_item,26816,248,liquidate,0,0.0,495
Electronics,B,04_incorrect_item,7298,366,donate,0,7.734744720094483,78
Apparel,A,04_incorrect_item,15736,271,donate,0,7.430866745006972,117
Beauty,B,01_defective,22596,495,refurbish,0,1.9217040429356365,6563
Apparel,C,01_defective,7767,54,refurbish,0,1.3033502954763891,12159
Beauty,B,01_defective,25613,125,refurbish,0,3.579339346240458,4807
Kitchen,C,01_defective,13828,375,recycle,1,0.0,-218
Apparel,A,02_changed_mind,5392,365,keep_it,0,0.0,46
Beauty,A,02_changed_mind,13028,491,keep_it,0,0.0,26
Apparel,C,02_changed_mind,10689,374,liquidate,0,0.0,-523
Beauty,A,01_defective,4976,331,refurbish,0,1.1323059016491674,4780
Apparel,A,02_changed_mind,15622,117,keep_it,0,0.0,94
Electronics,B,02_changed_mind,18568,338,liquidate,0,0.0,537
Apparel,A,03_damaged_shipping,3470,50,recycle,1,0.0,51
Apparel,A,02_changed_mind,21465,111,keep_it,0,0.0,11
Apparel,D,02_changed_mind,13286,92,keep_it,0,0.0,90
Apparel,A,04_incorrect_item,27341,253,donate,0,7.811249180572964,246
Apparel,A,01_defective,14401,422,refurbish,0,1.7600667075235092,10815
Kitchen,A,02_changed_mind,5908,289,keep_it,0,0.0,48
Apparel,B,01_defective,20075,473,refurbish,0,3.3533686591761054,17493
Kitchen,B,01_defective,25262,202,refurbish,0,4.108687992588553,6069
Apparel,B,03_damaged_shipping,4225,353,liquidate,0,0.0,-1403
Kitchen,B,02_changed_mind,20302,138,keep_it,0,0.0,14
Kitchen,C,02_changed_mind,25304,86,keep_it,0,0.0,59
Beauty,C,01_defective,19180,437,refurbish,0,2.2916795820719424,15754
Kitchen,C,03_damaged_shipping,15435,183,recycle,1,0.0,-822
Electronics,B,02_changed_mind,17097,102,keep_it,0,0.0,75
Electronics,C,02_changed_mind,5373,223,liquidate,0,0.0,711
Beauty,B,02_changed_mind,2126,191,keep_it,0,0.0,23
Kitchen,B,02_changed_mind,28356,144,liquidate,0,0.0,-472
Beauty,A,03_damaged_shipping,9853,416,recycle,1,0.0,-3286
Beauty,B,02_changed_mind,7759,198,keep_it,0,0.0,97
Electronics,A,02_changed_mind,29889,417,liquidate,0,0.0,1107
